,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.300000_1000_100_.txt,80.2371,12.918,74.5362,191.458,84.8311,118.126,111.285,12.918,152.547,75.3998,84.8311,122.707,120.401,12.918,114.509,129.155,84.8311,176.726,242.546,12.918,166.729,63.9211,84.8311,54.9457,163.502
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.300000_1000_500_.txt,561.637,255.28,596.947,515.856,149.431,356.328,135.712,255.28,135.712,165.576,149.431,392.922,149.431,255.28,149.431,298.697,149.431,392.922,531.414,255.28,531.414,478.837,149.431,392.922,394.741
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.300000_200_100_.txt,178.841,156.702,173.421,185.715,187.105,190.19,190.037,156.702,222.78,157.568,187.105,206.588,163.116,156.702,204.015,169.506,187.105,187.647,200.39,156.702,243.248,199.944,187.105,185.684,163.593
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.300000_200_500_.txt,681.419,408.803,774.438,556.475,584.295,631.952,437.567,408.803,473.567,496.644,584.295,507.873,637.476,408.803,404.473,784.888,584.295,787.034,600.555,408.803,378.716,727.386,584.295,783.652,709.475
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.450000_1000_100_.txt,64.3227,38.8999,70.0075,38.8999,45.5831,145.877,87.0987,38.8999,87.0987,90.2013,45.5831,145.877,96.8845,38.8999,38.8999,90.2013,45.5831,162.396,38.8999,38.8999,38.8999,23.8763,45.5831,145.877,38.8999
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.450000_1000_500_.txt,43.98,0.0,38.3152,114.064,112.785,3.68529,115.908,0.0,85.7402,60.8466,112.785,3.68529,9.28554,0.0,85.7243,119.708,112.785,3.68529,86.6794,0.0,16.883,15.6623,112.785,3.68529,97.1366
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.450000_200_100_.txt,61.7132,33.9835,61.7132,65.7426,45.0912,94.5996,93.4885,33.9835,93.4885,97.0512,45.0912,121.287,47.7509,33.9835,47.7509,56.0116,45.0912,121.287,99.9413,33.9835,99.9413,77.9714,45.0912,121.287,45.0912
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.450000_200_500_.txt,183.333,146.431,62.8536,150.331,258.143,79.8788,18.2346,146.431,79.367,314.786,258.143,85.7216,137.905,146.431,61.7814,62.8397,258.143,85.7216,74.7846,146.431,98.2472,50.429,258.143,53.6422,42.2417
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.690000_1000_100_.txt,112.815,155.499,121.694,101.832,120.819,115.078,120.819,155.499,120.819,265.583,120.819,125.193,120.458,155.499,120.458,170.555,120.819,125.193,99.651,155.499,99.651,120.458,120.819,113.863,120.819
../../dataset_directory_big/50_20/2349008_50_20_0.300000_0.300000_0.690000_1000_500_.txt,82.6055,59.3352,82.6055,120.471,7.45828,185.507,7.45828,59.3352,7.45828,7.45828,7.45828,46.9775,7.45828,59.3352,7.45828,67.1784,7.45828,82.6533,243.562,59.3352,224.737,7.45828,7.45828,46.9775,44.2849
