,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.300000_1000_100_.txt,89.2135,41.012,57.5326,109.371,105.975,142.136,125.552,41.012,125.552,118.488,105.975,56.1815,130.073,41.012,109.371,109.629,105.975,96.1596,69.8152,41.012,83.5999,85.1998,105.975,56.1815,68.043
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.300000_1000_500_.txt,691.782,621.104,762.638,148.23,186.334,603.526,160.571,621.104,160.571,356.527,186.334,729.921,199.138,621.104,199.138,602.04,186.334,752.235,169.543,621.104,184.194,170.882,186.334,752.235,168.857
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.300000_200_100_.txt,87.4293,3.04742,141.615,202.409,67.646,195.153,66.7482,3.04742,66.7482,66.9159,67.646,218.45,118.536,3.04742,118.536,66.7482,67.646,218.45,127.397,3.04742,127.397,17.5752,67.646,218.45,66.7482
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.300000_200_500_.txt,400.664,30.9416,372.785,243.467,112.631,359.285,161.074,30.9416,154.801,444.864,112.631,422.303,584.397,30.9416,72.2382,495.685,112.631,376.613,159.313,30.9416,176.143,486.661,112.631,376.613,538.948
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.450000_1000_100_.txt,10.4202,4.70166,10.4202,4.70166,4.70166,37.0371,4.70166,4.70166,4.70166,4.70166,4.70166,101.708,4.70166,4.70166,4.70166,4.70166,4.70166,101.708,4.70166,4.70166,4.70166,4.70166,4.70166,181.974,13.2794
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.450000_1000_500_.txt,13.2837,0.740784,7.20111,2.22235,0.0,23.2943,7.85576,0.0,7.85576,0.0,0.0,31.9955,7.85576,0.0,7.85576,0.0,0.0,5.89182,0.0,0.0,7.85576,0.0,0.0,5.89182,7.85576
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.450000_200_100_.txt,14.3332,36.0267,14.3332,2.72912,2.72912,2.72912,2.72912,36.0267,2.72912,2.72912,2.72912,2.72912,2.72912,36.0267,2.72912,2.72912,2.72912,2.72912,2.72912,36.0267,2.72912,2.72912,2.72912,2.72912,2.72912
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.450000_200_500_.txt,51.5238,108.801,45.1792,109.08,8.75014,35.7908,36.9923,108.801,36.9923,99.871,8.75014,108.178,99.5553,108.801,8.15547,17.6514,8.75014,108.178,8.75014,108.801,8.75014,17.6797,8.75014,17.0567,114.536
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.690000_1000_100_.txt,135.497,71.012,80.1647,109.443,80.1647,205.151,98.0586,71.012,80.1647,98.0586,80.1647,267.644,88.9059,71.012,210.373,228.488,80.1647,267.644,228.267,71.012,210.373,118.655,80.1647,267.644,98.0586
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.690000_1000_500_.txt,9.12112,0.0,4.21776,0.0,42.9189,0.0,6.05667,0.0,0.0,0.0,42.9189,0.0,12.6533,0.0,6.05667,0.0,42.9189,0.0,131.092,0.0,5.46344,0.0,42.9189,0.0,0.0
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.690000_200_100_.txt,17.8234,9.30287,23.1242,7.89408,6.18109,25.6129,6.18109,9.30287,9.30287,10.4495,6.18109,25.6129,6.18109,9.30287,6.18109,6.18109,6.18109,25.6129,6.18109,9.30287,6.18109,6.18109,6.18109,25.6129,6.18109
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.300000_0.690000_200_500_.txt,49.34,10.2763,39.9344,29.1186,54.0938,50.6675,53.5825,10.2763,10.9412,14.6013,54.0938,32.6904,43.3558,10.2763,1.42797,42.7407,54.0938,50.6675,13.8972,10.2763,24.2822,42.246,54.0938,50.6675,42.2795
../../dataset_directory_big/50_25/2349008_50_25_0.300000_0.450000_0.300000_1000_100_.txt,101.673,173.161,101.673,49.8249,215.924,199.915,215.924,173.161,215.924,49.8249,215.924,229.259,47.3869,173.161,47.3869,59.1429,215.924,229.259,429.234,173.161,429.234,160.808,215.924,229.259,171.909
