,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.300000_1000_100_.txt,262.972,166.379,262.972,313.135,166.379,153.916,207.833,166.379,207.833,207.833,166.379,153.916,166.379,166.379,166.379,145.858,166.379,153.916,145.858,166.379,145.858,207.833,166.379,153.916,166.379
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.300000_1000_500_.txt,315.424,453.159,315.424,455.375,383.523,385.947,383.523,453.159,383.523,383.523,383.523,383.523,383.523,453.159,383.523,240.349,383.523,383.523,257.963,453.159,257.963,417.594,383.523,383.523,211.744
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.300000_200_100_.txt,118.44,93.6516,118.102,97.3886,62.8775,89.7804,100.163,93.6516,76.7049,62.8775,62.8775,145.632,100.015,93.6516,109.606,72.2588,62.8775,145.632,75.5396,93.6516,76.7049,118.184,62.8775,100.206,57.3107
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.300000_200_500_.txt,516.094,299.955,461.84,442.064,453.152,370.927,468.644,299.955,617.486,438.624,453.152,555.327,270.175,299.955,509.32,601.763,453.152,555.327,354.466,299.955,459.435,450.042,453.152,557.12,453.816
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.450000_1000_100_.txt,262.912,213.582,294.387,327.837,213.582,257.469,161.96,213.582,280.109,226.558,213.582,282.995,225.888,213.582,192.326,225.888,213.582,282.995,176.197,213.582,336.483,221.286,213.582,244.707,247.168
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.450000_1000_500_.txt,208.728,179.851,283.032,262.369,355.735,335.863,346.121,179.851,273.892,355.219,355.735,330.734,377.37,179.851,355.735,339.757,355.735,346.121,618.102,179.851,351.615,316.255,355.735,330.734,304.892
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.450000_200_100_.txt,38.258,26.727,75.7866,226.898,23.9836,62.1753,74.2071,26.727,74.2071,74.2071,23.9836,266.468,131.161,26.727,131.161,58.9385,23.9836,266.468,62.2346,26.727,62.2346,47.6726,23.9836,266.468,228.608
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.450000_200_500_.txt,129.263,121.748,110.947,210.253,130.785,134.197,147.362,121.748,147.362,105.737,130.785,135.911,162.231,121.748,162.231,136.231,130.785,135.911,87.341,121.748,114.821,84.6656,130.785,135.911,188.744
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.690000_1000_100_.txt,195.782,79.5642,195.782,230.4,84.6996,86.591,84.6996,79.5642,84.6996,84.6996,84.6996,79.5642,84.1204,79.5642,84.1204,349.043,84.6996,79.5642,69.3442,79.5642,69.3442,230.4,84.6996,79.5642,84.6996
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.690000_1000_500_.txt,43.2936,193.082,43.2936,116.818,8.97106,0.0,0.0,193.082,0.0,8.97106,8.97106,0.0,8.97106,193.082,0.0,0.0,8.97106,0.0,8.97106,193.082,0.0,0.0,8.97106,8.97106,8.97106
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.690000_200_100_.txt,21.5362,17.7511,17.7842,17.7511,17.8008,25.9003,46.9746,17.7511,17.7511,34.8865,17.8008,20.4613,17.7511,17.7511,20.1835,20.2897,17.8008,20.4613,17.7511,17.7511,17.7511,17.7511,17.8008,37.311,17.8008
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.300000_0.690000_200_500_.txt,106.098,73.5299,105.539,48.1274,120.382,13.3502,39.3508,73.5299,39.3508,14.3185,120.382,13.3502,97.5908,73.5299,117.061,114.52,120.382,13.3502,74.1824,73.5299,74.1824,20.5049,120.382,13.3502,26.4691
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.300000_1000_100_.txt,450.53,342.738,450.53,333.213,432.704,432.704,648.632,342.738,648.632,476.658,432.704,432.704,505.187,342.738,505.187,333.213,432.704,432.704,432.704,342.738,432.704,432.704,432.704,333.213,435.358
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.300000_1000_500_.txt,870.147,497.692,870.147,768.173,573.33,760.004,768.173,497.692,768.173,534.629,573.33,887.598,573.33,497.692,868.274,612.587,573.33,887.598,887.598,497.692,306.369,612.587,573.33,887.598,421.264
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.300000_200_100_.txt,55.4423,9.62384,54.9535,68.9559,41.503,76.1555,37.5396,9.62384,37.5396,75.2104,41.503,74.7783,91.4476,9.62384,29.8823,61.0262,41.503,78.9097,61.0262,9.62384,41.503,61.0262,41.503,74.7783,61.0262
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.300000_200_500_.txt,271.415,134.916,261.065,232.641,236.323,144.923,164.53,134.916,255.93,143.479,236.323,144.923,164.53,134.916,246.573,226.001,236.323,144.923,298.918,134.916,298.918,226.001,236.323,144.923,154.28
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.450000_1000_100_.txt,228.012,226.043,228.012,269.277,150.524,308.75,351.072,226.043,351.072,232.573,150.524,233.008,151.254,226.043,151.254,195.213,150.524,370.103,226.043,226.043,226.043,86.493,150.524,370.103,156.011
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.450000_1000_500_.txt,118.305,95.4643,123.349,137.302,86.7236,156.859,57.8615,95.4643,144.845,194.077,86.7236,173.481,201.977,95.4643,276.18,155.715,86.7236,173.481,190.131,95.4643,155.744,86.7236,86.7236,123.614,68.7319
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.450000_200_100_.txt,54.7621,23.583,46.5396,23.583,90.0191,24.3942,2.13908,23.583,44.235,2.13908,90.0191,23.583,23.583,23.583,91.2359,90.0191,90.0191,23.583,100.805,23.583,24.7998,23.583,90.0191,23.583,23.583
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.450000_200_500_.txt,150.204,123.618,132.096,136.635,126.26,229.215,174.143,123.618,196.799,171.049,126.26,196.136,163.038,123.618,126.26,133.209,126.26,279.925,211.845,123.618,195.295,71.3801,126.26,283.789,80.9266
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.690000_1000_100_.txt,153.133,177.39,153.133,150.839,167.116,150.839,167.116,177.39,167.116,164.964,167.116,150.839,167.116,177.39,167.116,167.116,167.116,150.839,150.839,177.39,150.839,169.662,167.116,150.839,150.839
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.690000_1000_500_.txt,104.893,82.4781,81.2725,98.5812,45.5436,90.4334,130.216,82.4781,39.0539,103.358,45.5436,77.362,81.3514,82.4781,130.216,81.3514,45.5436,100.18,81.3514,82.4781,61.8714,84.2134,45.5436,100.18,80.2905
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.690000_200_100_.txt,35.1147,20.249,35.1147,36.49,79.4684,38.2867,103.069,20.249,103.069,59.3935,79.4684,59.7483,54.5136,20.249,54.5136,38.0725,79.4684,59.7483,31.7153,20.249,31.7153,38.0725,79.4684,32.8731,45.4167
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.450000_0.690000_200_500_.txt,42.0905,0.0,31.6115,25.8206,17.373,77.0961,0.0,0.0,0.0,25.8206,17.373,58.9305,17.373,0.0,12.2457,0.0,17.373,58.9305,25.8206,0.0,41.778,25.4114,17.373,33.1099,12.2457
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.690000_0.300000_1000_100_.txt,428.282,440.404,428.282,404.038,646.242,440.404,440.404,440.404,460.75,853.81,646.242,440.404,646.242,440.404,646.242,853.81,646.242,440.404,440.404,440.404,440.404,404.038,646.242,440.404,646.242
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.690000_0.300000_1000_500_.txt,572.95,158.712,626.544,188.374,224.031,188.374,357.013,158.712,357.013,224.031,224.031,188.374,259.279,158.712,226.198,188.374,224.031,188.374,224.031,158.712,224.031,429.782,224.031,224.031,224.031
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.690000_0.300000_200_100_.txt,452.933,457.702,378.391,452.933,345.889,343.103,148.596,457.702,341.119,452.933,345.889,345.889,432.461,457.702,457.702,452.933,345.889,345.889,452.933,457.702,457.702,452.933,345.889,345.889,452.933
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.690000_0.300000_200_500_.txt,506.175,716.829,506.175,858.637,394.487,642.766,385.41,716.829,385.41,322.922,394.487,642.766,470.355,716.829,470.355,592.052,394.487,642.766,394.487,716.829,394.487,470.355,394.487,642.766,382.329
../../dataset_directory_big/35_20/2349008_35_20_0.300000_0.690000_0.450000_1000_100_.txt,156.558,130.839,156.558,130.839,189.525,138.203,189.525,130.839,189.525,143.117,189.525,141.885,135.032,130.839,135.032,130.839,189.525,141.885,130.839,130.839,130.839,130.839,189.525,130.839,135.032
