,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.300000_1000_100_.txt,81.3233,54.2312,81.3233,54.2312,54.2312,440.441,97.8395,54.2312,54.2312,54.2312,54.2312,440.441,187.727,54.2312,144.119,54.2312,54.2312,440.441,54.2312,54.2312,54.2312,54.2312,54.2312,440.441,97.8395
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.300000_1000_500_.txt,329.278,273.308,342.062,339.77,283.449,456.489,350.855,273.308,210.64,287.779,283.449,437.279,241.527,273.308,241.527,286.399,283.449,478.077,283.449,273.308,252.562,339.514,283.449,437.279,283.449
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.300000_200_100_.txt,114.808,114.46,114.808,161.984,108.056,110.19,114.915,114.46,108.056,108.056,108.056,108.056,161.48,114.46,108.056,108.056,108.056,108.056,114.46,114.46,108.056,108.056,108.056,108.056,108.056
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.300000_200_500_.txt,270.495,293.273,258.6,547.656,331.326,302.12,353.372,293.273,231.558,172.815,331.326,350.644,299.423,293.273,270.777,210.466,331.326,300.356,310.866,293.273,267.957,409.177,331.326,326.329,278.966
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.450000_1000_100_.txt,255.486,238.785,299.321,257.38,246.534,231.781,224.549,238.785,257.136,219.238,246.534,241.422,224.637,238.785,236.637,249.102,246.534,241.422,224.637,238.785,234.934,224.637,246.534,235.124,217.745
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.450000_1000_500_.txt,308.405,240.628,301.388,349.83,248.813,329.442,251.622,240.628,229.303,452.529,248.813,303.976,260.181,240.628,268.381,289.658,248.813,271.879,228.685,240.628,214.995,255.156,248.813,371.142,242.811
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.450000_200_100_.txt,41.5377,54.4929,50.724,31.0377,69.5336,47.416,41.1193,54.4929,39.0978,56.2485,69.5336,28.138,40.2035,54.4929,51.2654,59.2649,69.5336,28.138,46.6423,54.4929,56.898,108.955,69.5336,28.138,43.6089
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.450000_200_500_.txt,200.022,138.82,250.265,293.198,136.75,239.437,316.966,138.82,161.176,145.828,136.75,281.041,190.293,138.82,227.623,258.673,136.75,216.38,297.509,138.82,312.602,285.572,136.75,216.38,188.154
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.690000_1000_100_.txt,54.6229,138.09,67.8443,112.564,69.2778,70.3926,39.7145,138.09,60.3615,84.7566,69.2778,62.5984,39.7145,138.09,73.7253,47.4137,69.2778,62.5984,60.9794,138.09,80.8202,49.2351,69.2778,62.5984,51.2568
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.690000_1000_500_.txt,7.68858,7.61058,7.63658,1.9944,7.68858,7.63658,7.68858,7.61058,7.68858,1.9944,7.68858,7.61058,7.61058,7.61058,1.9944,7.61058,7.68858,7.68858,1.9944,7.61058,7.68858,1.9944,7.68858,7.61058,13.3048
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.690000_200_100_.txt,35.3215,42.9084,69.6631,84.1147,87.9316,135.753,29.4865,42.9084,69.4622,71.1706,87.9316,138.782,113.615,42.9084,153.591,123.327,87.9316,150.206,16.2312,42.9084,151.077,84.1147,87.9316,87.9139,98.0488
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.300000_0.690000_200_500_.txt,238.915,40.9221,126.796,204.163,6.87936,122.859,204.163,40.9221,4.20551,204.163,6.87936,269.388,204.163,100.448,40.9221,221.44,6.87936,120.637,204.163,40.9221,204.163,204.163,6.87936,120.637,204.163
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.300000_1000_100_.txt,150.25,44.752,150.25,182.689,97.6538,98.978,35.2591,44.752,35.2591,159.52,97.6538,46.6117,88.1609,44.752,88.1609,216.273,97.6538,257.689,84.9124,44.752,84.9124,166.62,97.6538,46.6117,48.0038
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.300000_1000_500_.txt,429.109,542.441,429.109,447.484,530.862,435.023,441.705,542.441,406.442,359.966,530.862,493.481,530.862,542.441,530.862,515.148,530.862,493.481,470.504,542.441,603.63,282.784,530.862,493.481,531.832
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.300000_200_100_.txt,93.3955,59.7698,93.3955,104.631,80.1645,87.409,83.9491,59.7698,83.9491,104.659,80.1645,79.0734,105.356,59.7698,105.356,80.6609,80.1645,79.0734,88.1895,59.7698,88.1895,59.7698,80.1645,79.1877,88.7911
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.300000_200_500_.txt,306.817,264.561,284.143,247.626,246.515,285.934,384.7,264.561,384.7,408.785,246.515,258.257,224.176,264.561,224.176,224.176,246.515,290.978,246.515,264.561,246.515,235.158,246.515,290.978,259.294
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.450000_1000_100_.txt,218.127,264.054,167.731,468.645,370.018,258.113,105.289,264.054,105.289,382.228,370.018,256.032,149.499,264.054,111.889,110.367,370.018,181.658,166.949,264.054,334.033,111.906,370.018,136.094,180.46
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.450000_1000_500_.txt,921.862,1099.15,938.634,1017.19,610.751,822.829,729.193,1099.15,616.173,1021.4,610.751,741.33,982.376,1099.15,982.376,1457.16,610.751,863.578,630.698,1099.15,630.698,846.387,610.751,741.33,688.592
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.450000_200_100_.txt,232.914,181.514,180.274,180.481,206.86,187.011,245.158,206.445,253.192,220.077,206.86,154.768,212.475,206.445,207.537,197.644,206.86,154.768,167.666,206.445,213.599,255.683,206.86,154.768,206.776
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.450000_200_500_.txt,380.787,490.854,388.826,404.526,499.184,513.28,391.04,490.854,377.657,487.256,499.184,469.444,506.635,490.854,319.334,428.705,499.184,596.22,631.815,490.854,406.41,378.824,499.184,596.22,470.576
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.690000_1000_100_.txt,61.9862,26.9654,110.81,6.26065,158.993,6.26065,158.993,26.9654,158.993,14.2967,158.993,6.26065,80.7195,26.9654,158.993,6.26065,158.993,6.26065,74.4589,26.9654,6.26065,80.7195,158.993,6.26065,158.993
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.690000_1000_500_.txt,166.188,55.275,94.9577,199.978,111.291,397.46,100.624,55.275,265.735,215.401,111.291,101.881,85.2012,55.275,99.2879,211.321,111.291,101.881,85.2012,55.275,146.382,199.978,111.291,100.624,100.624
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.690000_200_100_.txt,5.10966,0.0,5.10966,41.1472,3.75624,0.0,34.0019,0.0,34.0019,0.0,3.75624,0.0,0.0,0.0,0.0,0.0,3.75624,0.0,3.75624,0.0,3.75624,7.14529,3.75624,0.0,15.329
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.450000_0.690000_200_500_.txt,78.8803,32.6212,94.2333,139.04,118.275,72.4466,164.034,32.6212,158.014,161.071,118.275,47.868,200.011,32.6212,119.318,90.8593,118.275,147.432,151.641,32.6212,150.474,87.4895,118.275,34.6627,90.3848
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.300000_1000_100_.txt,59.9708,33.6484,66.5126,7.75937,32.8596,18.6587,8.00952,33.6484,38.284,8.00952,32.8596,18.6587,32.8596,33.6484,32.8596,7.75937,32.8596,18.6587,8.00952,33.6484,8.00952,18.6587,32.8596,18.6587,18.6587
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.300000_1000_500_.txt,266.776,108.254,266.776,452.84,164.319,346.037,729.026,108.254,729.026,224.852,164.319,346.037,734.347,108.254,734.347,101.131,164.319,346.037,187.427,108.254,166.713,91.6898,164.319,346.037,210.777
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.300000_200_100_.txt,285.417,307.72,285.417,208.922,292.042,260.035,221.249,307.72,221.249,529.001,292.042,290.135,305.256,307.72,305.256,478.067,292.042,290.135,252.441,307.72,252.441,302.795,292.042,199.836,243.229
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.300000_200_500_.txt,393.845,337.807,393.845,265.875,284.626,358.528,303.456,337.807,303.456,307.91,284.626,358.528,370.098,337.807,168.098,165.674,284.626,358.528,211.002,337.807,211.002,315.243,284.626,358.528,209.986
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.450000_1000_100_.txt,559.936,575.894,559.936,543.333,638.992,713.04,650.784,575.894,661.365,428.187,638.992,780.504,435.682,575.894,707.543,519.514,638.992,780.504,541.166,575.894,541.166,632.349,638.992,679.309,638.992
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.450000_1000_500_.txt,635.921,316.017,591.563,794.976,612.441,693.143,825.08,316.017,544.64,848.159,612.441,693.143,787.993,316.017,570.064,720.899,612.441,693.143,647.156,316.017,776.304,523.653,612.441,693.143,877.131
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.450000_200_100_.txt,369.014,400.057,393.182,315.541,372.185,254.036,263.44,400.057,395.13,233.729,372.185,251.16,246.632,400.057,387.88,295.006,372.185,251.16,387.909,400.057,290.118,376.236,372.185,251.16,234.542
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.450000_200_500_.txt,318.063,125.384,408.676,753.481,336.827,273.785,168.657,125.384,324.297,278.169,336.827,257.036,203.88,125.384,378.889,401.656,336.827,257.036,395.961,125.384,256.456,291.777,336.827,257.036,214.661
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.690000_1000_100_.txt,203.496,77.3619,203.496,88.6281,133.993,175.425,79.8024,77.3619,79.8024,120.971,133.993,174.095,395.332,77.3619,395.332,158.866,133.993,174.095,200.397,77.3619,200.397,400.774,133.993,174.095,129.797
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.690000_1000_500_.txt,399.599,423.955,509.458,501.872,393.369,343.048,423.955,423.955,423.955,501.872,393.369,342.392,346.761,423.955,346.761,342.392,393.369,342.392,342.392,423.955,342.392,342.392,393.369,342.392,423.955
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.690000_200_100_.txt,18.3789,43.1652,18.3789,35.2732,35.2732,9.82665,9.82665,35.2732,9.82665,35.2732,35.2732,9.82665,35.2732,35.2732,35.2732,35.2732,35.2732,9.82665,35.2732,35.2732,35.2732,22.0456,35.2732,9.82665,35.2732
../../dataset_directory_big/45_20/2349008_45_20_0.300000_0.690000_0.690000_200_500_.txt,259.649,116.535,211.814,217.73,136.2,101.643,176.58,116.535,142.526,153.527,136.2,102.172,145.137,116.535,142.526,169.459,136.2,102.172,176.871,116.535,142.526,309.393,136.2,102.172,188.958
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.300000_1000_100_.txt,474.563,750.354,916.013,1185.81,827.228,736.115,717.141,750.354,578.072,534.658,827.228,683.995,712.5,750.354,655.598,828.551,827.228,668.879,862.082,750.354,516.19,742.563,827.228,879.165,504.858
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.300000_1000_500_.txt,923.12,462.398,937.301,1084.44,707.402,608.708,1126.3,462.398,543.793,661.174,707.402,698.623,942.125,462.398,702.492,466.342,707.402,620.565,655.515,462.398,1150.1,819.033,707.402,542.208,1069.28
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.300000_200_100_.txt,368.509,312.25,348.389,389.365,288.956,381.646,340.486,312.25,368.972,318.927,288.956,360.682,196.841,312.25,239.836,371.843,288.956,408.779,258.67,312.25,186.443,240.122,288.956,351.627,255.245
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.300000_200_500_.txt,812.525,486.979,812.956,847.017,367.421,1030.78,389.039,486.979,526.097,568.351,367.421,1338.1,608.759,486.979,736.462,699.584,367.421,867.969,362.627,486.979,613.743,801.821,367.421,963.808,784.012
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.450000_1000_100_.txt,527.67,203.453,570.912,634.191,736.239,750.478,544.922,203.453,638.18,880.856,736.239,1101.19,772.041,203.453,679.489,787.966,736.239,539.672,650.915,203.453,516.268,775.625,736.239,743.806,517.58
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.450000_1000_500_.txt,535.424,485.583,557.173,441.049,403.031,769.562,314.357,485.583,479.798,307.397,403.031,445.11,325.472,485.583,257.986,420.364,403.031,429.032,381.437,485.583,329.219,128.816,403.031,599.903,454.511
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.450000_200_100_.txt,193.579,247.548,258.545,341.992,165.073,181.471,137.953,274.784,194.601,295.131,165.073,181.006,233.428,274.784,168.819,288.398,165.073,201.28,176.8,274.784,247.827,172.864,165.073,195.488,185.633
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.450000_200_500_.txt,742.445,627.162,655.772,592.506,524.138,751.649,616.461,627.162,604.777,494.341,524.138,770.794,785.123,627.162,592.871,696.268,524.138,703.305,481.344,627.162,442.669,711.954,524.138,912.297,686.931
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.690000_1000_100_.txt,270.874,182.448,196.408,294.384,146.891,198.316,291.181,182.448,182.448,209.227,146.891,149.176,189.143,182.448,264.783,197.858,146.891,177.535,277.487,182.448,166.071,211.205,146.891,177.535,139.776
../../dataset_directory_big/45_20/2349008_45_20_0.450000_0.300000_0.690000_1000_500_.txt,255.773,285.699,310.583,206.742,243.357,373.995,254.914,285.699,231.05,228.055,243.357,329.922,205.51,285.699,296.289,211.296,243.357,410.066,300.872,285.699,241.166,341.274,243.357,340.664,202.996
