,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.300000_1000_100_.txt,33.5996,101.804,50.7588,24.6608,76.1382,24.6608,171.862,101.804,170.51,76.1382,76.1382,24.6608,76.1382,101.804,76.1382,76.1382,76.1382,24.6608,76.1382,101.804,101.804,24.6608,76.1382,24.6608,76.1382
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.300000_1000_500_.txt,559.23,470.35,645.172,783.819,768.729,672.441,783.819,470.35,649.017,570.709,768.729,733.996,896.952,470.35,440.711,914.463,768.729,718.175,697.961,470.35,698.373,671.502,768.729,861.474,570.709
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.300000_200_100_.txt,82.0663,85.6243,87.6699,51.5499,81.6664,51.364,46.745,85.6243,108.255,46.745,81.6664,51.5499,108.255,85.6243,81.6664,50.6204,81.6664,50.9921,51.5499,85.6243,106.924,50.9921,81.6664,51.5499,81.6664
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.300000_200_500_.txt,110.274,44.632,219.103,249.772,61.8699,83.2575,115.413,44.632,249.772,20.0893,61.8699,0.0,325.556,44.632,44.632,86.5259,61.8699,0.0,249.772,44.632,491.555,50.6913,61.8699,249.772,0.0
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.450000_1000_100_.txt,1.16169,24.6949,1.16169,116.409,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,24.6949,1.16169,24.6949,24.6949,24.6949
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.450000_1000_500_.txt,176.504,8.99983,82.6322,8.99983,8.99983,8.99983,8.99983,8.99983,8.99983,8.99983,8.99983,8.99983,8.99983,8.99983,211.615,8.99983,8.99983,8.99983,211.615,8.99983,211.615,8.99983,8.99983,8.99983,8.99983
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.450000_200_100_.txt,14.276,41.5597,14.276,15.1847,75.3067,63.2921,50.9583,41.5597,75.3067,50.9583,75.3067,63.2921,75.3067,41.5597,75.3067,15.1847,75.3067,67.9648,29.8517,41.5597,29.8517,15.1847,75.3067,63.2921,44.2618
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.450000_200_500_.txt,407.026,246.292,314.817,451.866,246.292,314.817,246.292,246.292,451.866,246.292,246.292,246.292,451.866,246.292,246.292,246.292,246.292,246.292,262.654,246.292,246.292,246.292,246.292,246.292,246.292
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.690000_1000_100_.txt,111.643,175.482,171.643,122.704,96.6771,127.645,96.6771,175.482,97.8509,127.82,96.6771,96.6771,96.6771,175.482,96.6771,112.132,96.6771,102.377,96.6771,175.482,107.249,107.249,96.6771,96.6771,20.4698
../../dataset_directory_big/20_25/2349008_20_25_0.300000_0.300000_0.690000_1000_500_.txt,457.2,0.0,457.2,280.725,15.5921,389.582,15.5921,0.0,559.244,15.5921,15.5921,543.652,0.0,0.0,0.0,543.652,15.5921,265.132,96.7551,0.0,15.5921,96.7551,15.5921,265.132,15.5921
