,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.300000_1000_100_.txt,20.8828,9.76804,24.1769,17.347,17.347,24.1769,17.347,9.76804,17.347,24.4413,17.347,17.347,17.347,9.76804,17.347,27.5919,17.347,17.347,17.347,9.76804,17.347,17.347,17.347,17.347,24.4413
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.300000_1000_500_.txt,233.394,310.738,233.394,175.946,175.946,233.394,175.946,310.738,175.946,175.946,175.946,175.946,175.946,310.738,175.946,175.946,175.946,175.946,310.738,310.738,310.738,175.946,175.946,175.946,175.946
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.300000_200_100_.txt,51.7646,18.9643,114.237,55.8071,18.9643,68.471,34.7674,18.9643,34.7674,55.8071,18.9643,85.0558,18.9643,18.9643,60.0168,18.9643,18.9643,85.0558,18.9643,18.9643,55.8071,57.8278,18.9643,85.0558,18.9643
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.300000_200_500_.txt,219.538,483.646,239.879,721.108,150.121,392.333,483.646,483.646,385.519,576.47,150.121,392.333,280.793,483.646,132.396,574.784,150.121,392.333,116.177,483.646,293.514,716.452,150.121,392.333,243.427
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.450000_1000_100_.txt,17.1484,7.21141,27.0854,132.339,7.21141,7.21141,7.21141,7.21141,37.0224,7.21141,7.21141,7.21141,7.21141,7.21141,37.0224,7.21141,7.21141,7.21141,7.21141,7.21141,37.0224,7.21141,7.21141,7.21141,7.21141
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.450000_1000_500_.txt,140.441,99.2402,140.441,149.813,97.2857,97.2857,208.715,99.2402,162.292,263.799,97.2857,97.2857,97.2857,99.2402,97.2857,162.019,97.2857,97.2857,97.2857,99.2402,97.2857,151.227,97.2857,97.2857,97.2857
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.450000_200_100_.txt,263.965,183.109,179.035,189.151,189.151,179.035,137.158,183.109,176.998,189.151,189.151,176.998,189.151,183.109,176.998,189.151,189.151,176.998,189.151,183.109,183.109,189.151,189.151,183.109,189.151
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.450000_200_500_.txt,440.568,415.888,489.321,421.04,297.822,383.184,442.829,415.888,415.509,462.531,297.822,364.751,277.282,415.888,591.959,309.465,297.822,356.099,233.427,415.888,433.085,386.472,297.822,356.099,398.569
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.690000_1000_100_.txt,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873,32.873
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.690000_1000_500_.txt,127.562,149.631,175.906,127.562,149.631,134.918,127.562,149.631,127.562,127.562,149.631,127.562,149.631,149.631,127.562,149.631,149.631,127.562,149.631,149.631,127.562,127.562,149.631,127.562,149.631
../../dataset_directory_big/20_20/2349008_20_20_0.300000_0.300000_0.690000_200_100_.txt,84.2236,51.6178,101.627,43.7692,48.1484,48.8094,48.1484,51.6178,96.3601,51.6178,48.1484,48.8094,48.1484,51.6178,97.5412,44.9502,48.1484,48.8094,48.1484,51.6178,97.5412,53.9731,48.1484,48.8094,48.1484
