,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.300000_1000_100_.txt,205.85,119.491,176.686,163.069,142.136,143.568,215.862,119.491,60.8614,141.065,142.136,153.731,138.906,119.491,138.906,141.065,142.136,153.731,160.631,119.491,176.601,118.706,142.136,153.731,202.554
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.300000_1000_500_.txt,68.5239,180.334,95.898,48.197,31.2852,110.449,23.1846,180.334,21.3282,66.2523,31.2852,77.5609,21.3282,180.334,56.2953,93.9982,31.2852,68.179,41.3102,180.334,21.3282,56.2953,31.2852,68.179,31.2852
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.300000_200_100_.txt,146.976,41.5514,151.988,153.941,19.5548,93.5234,5.96174,30.3921,104.312,56.2273,19.5548,89.6659,51.9786,47.1311,52.0872,129.99,19.5548,116.451,42.9205,47.1311,102.915,191.844,19.5548,125.448,51.5141
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.300000_200_500_.txt,474.206,285.446,460.442,365.044,333.545,319.093,249.27,285.446,330.857,440.655,333.545,293.18,231.868,285.446,68.101,535.868,333.545,325.623,244.422,285.446,137.803,400.531,333.545,269.749,225.84
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.450000_1000_100_.txt,10.4825,40.6601,10.4825,10.4825,10.4825,10.4825,10.4825,40.6601,10.4825,10.4825,10.4825,10.4825,10.4825,40.6601,10.4825,10.4825,10.4825,10.4825,10.4825,40.6601,10.4825,10.4825,10.4825,10.4825,10.4825
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.450000_1000_500_.txt,168.649,84.4161,127.104,40.9907,249.917,461.56,146.885,84.4161,146.885,241.658,249.917,476.319,113.883,84.4161,242.89,40.7068,249.917,354.911,149.268,84.4161,149.268,243.151,249.917,447.563,247.465
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.450000_200_100_.txt,9.1851,11.8007,18.5025,20.9091,2.62072,2.87775,29.4102,11.8007,2.62072,29.4102,2.62072,0.0,2.62072,11.8007,22.764,20.9091,2.62072,0.0,21.6264,11.8007,2.62072,27.5553,2.62072,0.0,0.0
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.450000_200_500_.txt,100.178,15.4759,96.5679,30.2826,23.5902,52.1487,62.73,15.4759,32.8073,53.4992,23.5902,37.2846,14.3642,15.4759,33.8005,13.8845,23.5902,37.2846,49.6653,15.4759,12.9947,43.041,23.5902,37.2846,36.8281
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.690000_1000_100_.txt,55.0016,14.5389,55.0016,1.78811,26.0887,9.64696,30.8053,14.5389,10.3603,27.3033,26.0887,9.89759,28.2168,14.5389,28.2168,3.00266,26.0887,10.3603,26.0887,14.5389,26.0887,22.9995,26.0887,9.89759,26.0887
../../dataset_directory_big/45_25/2349008_45_25_0.300000_0.300000_0.690000_1000_500_.txt,61.9123,0.0,61.9123,209.804,0.0,54.3775,0.0,0.0,0.0,0.0,0.0,81.5662,81.5662,0.0,28.7496,0.0,0.0,81.5662,156.987,0.0,128.238,0.0,0.0,81.5662,128.238
